"school_id"|"examtitle"|"exam"|"files"|"lastupdate"|"staffid"|"remarks"|"examformat"|"entryyear"|"type"|"duration"|"case"|"aaremarks"
1|"Year 12"|"English Essay"|""|"20130418154729"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|30|"Y"|""
1|"Year 12"|"Grammar Placement Test"|""|"20130418154935"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|45|"Y"|""
1|"Year 12"|"Mathematics (Higher Paper)"|""|"20130418155159"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|60|"N"|""
1|"Year 12"|"Mathematics (Higher Paper)"|""|"20130418155332"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|60|"N"|""
1|"Year 12"|"Grammar Placement Test"|""|"20130418155254"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|45|"Y"|""
1|"Year 12"|"Chemistry"|""|"20130418155650"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|60|"N"|""
1|"Year 12"|"Biology"|""|"20130418160056"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Scholarship"|45|"N"|""
1|"Year 12"|"Biology"|""|"20130418155736"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|60|"N"|""
1|"Year 12"|"Chemistry"|""|"20130418155956"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Scholarship"|60|"N"|""
1|"Year 12"|"Economics and Business"|""|"20130418155822"|"AA00028"|""|"Compulsory Papers:
English Essay (30mins)
Verbal Reasoning Test (45mins) 
Grammar Placement Test (45mins) 

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed (1hr)
Chemistry - Calculator is allowed (1hr)
Physics - Calculator is allowed (1hr) 
Biology - Calculator is allowed (1hr) 
History (45mins) 
Economics and Business (1hr)
Geography (1hr)

Scholarship Papers:
Mathematics - Calculator is allowed  (1hr)
Chemistry - Calculator is allowed  (1hr)
Physics - Calculator is allowed  (1hr)
Biology - Calculator is allowed and Use Ruler (45mins)"|"2013-14"|"Entrance"|60|"N"|""
